Province,District,Year,Commodity,Soil_pH,Soil_N_index,Soil_P_index,Soil_K_index,Area_Ha,Target_Yield_KgHa,Pupuk_Urea_kgHa,Pupuk_SP36_kgHa,Pupuk_KCl_kgHa
Papua Barat Daya,Sorong Selatan,2020,Tebu,4.25,3,1,2,46.22,68850.5,238.2,131.6,88.6
Sulawesi Utara,Manado,2023,Tebu,4.8,2,1,2,80.65,58770.4,257.2,86.1,86.1
Gorontalo,Bone Bolango,2023,Padi,5.01,3,2,3,34.48,5856.1,289.4,95.7,75.4
Sulawesi Barat,Mamasa,2019,Cabai Rawit,5.68,1,2,1,1.1,10280.5,237.5,111.4,70.2
Kalimantan Timur,Paser,2024,Tebu,5.12,3,3,2,59.96,71133.0,292.2,124.7,78.9
Sumatera Utara,Simalungun,2019,Bawang Merah,5.33,2,2,1,6.55,7902.0,241.6,113.9,85.2
Jawa Timur,Bondowoso,2023,Cabai Rawit,5.73,2,3,3,8.61,6191.4,215.8,139.0,63.0
Sulawesi Tenggara,Buton,2022,Jagung,4.9,2,4,4,34.34,8605.7,246.1,127.6,80.6
Papua Selatan,Merauke,2018,Padi,5.39,3,2,1,22.67,6004.0,219.6,120.6,84.1
Sulawesi Tengah,Palu,2018,Padi,5.34,1,1,3,30.52,6506.2,260.7,130.0,74.4
Jawa Barat,Indramayu,2019,Tebu,6.34,2,3,2,77.69,58889.6,243.2,127.1,68.2
Jawa Barat,Cianjur,2023,Padi,5.84,1,3,3,49.49,6977.2,241.0,124.6,80.4
Kalimantan Selatan,Tanah Laut,2021,Cabai Rawit,5.52,4,4,3,5.03,7244.2,265.6,113.1,79.2
Sumatera Barat,Solok,2022,Jagung,5.81,3,3,4,37.62,7653.9,254.8,135.6,90.5
Banten,Cilegon,2020,Padi,6.74,3,2,2,8.85,6411.9,254.2,133.5,71.0
Maluku Utara,Tidore,2025,Padi,5.7,3,4,5,35.63,6187.1,249.7,85.0,88.9
Papua Barat,Teluk Bintuni,2023,Cabai Rawit,5.64,3,2,2,4.37,8381.3,262.4,126.0,102.2
Papua Tengah,Dogiyai,2022,Padi,4.44,2,4,3,12.76,6415.8,223.5,103.8,93.5
Bengkulu,Rejang Lebong,2020,Tebu,5.11,3,1,3,40.79,69175.9,306.0,123.9,83.6
Jambi,Tebo,2025,Cabai Rawit,5.02,2,2,2,10.98,6943.9,248.7,123.1,71.1
Bali,Tabanan,2020,Bawang Merah,5.7,3,2,2,1.92,12945.6,260.6,101.2,70.0
Kalimantan Timur,Berau,2018,Bawang Merah,5.29,2,3,2,0.89,8084.9,241.1,110.5,89.3
Nusa Tenggara Timur,TTU,2018,Bawang Merah,7.35,3,2,3,2.17,11773.0,246.3,94.2,95.9
Kalimantan Timur,Paser,2019,Jagung,4.2,1,1,3,7.24,4755.7,261.2,142.1,81.1
